GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aiCRM,vasyl.karpliak.aiCRM.attachments.service,FileAttachmentService,519,0,66,0,121,0,45,0,12,0
aiCRM,vasyl.karpliak.aiCRM.attachments.service,FileTextExtractor,59,0,2,0,12,0,3,0,2,0
aiCRM,vasyl.karpliak.aiCRM.reporting.config,ReportingRabbitConfig,21,0,0,0,4,0,4,0,4,0
aiCRM,vasyl.karpliak.aiCRM.attachments.enums,FileAttachmentStatus,27,0,0,0,5,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.shared.context,RequestContextHelper,57,0,10,0,17,0,8,0,3,0
aiCRM,vasyl.karpliak.aiCRM.ai.service,AIChatService,0,61,1,7,0,13,1,5,0,2
aiCRM,vasyl.karpliak.aiCRM.ai.service,AiOrchestrator,308,4,44,0,67,1,28,1,6,1
aiCRM,vasyl.karpliak.aiCRM.sales.service,TaskService,128,158,22,14,17,41,24,4,6,4
aiCRM,vasyl.karpliak.aiCRM.sales.service,SalesIntegrationService,54,138,12,4,5,36,12,2,4,2
aiCRM,vasyl.karpliak.aiCRM.sales.service,DealService,169,156,17,5,27,39,20,6,10,5
aiCRM,vasyl.karpliak.aiCRM.sales.service,ClientService,62,201,21,15,10,46,17,13,0,12
aiCRM,vasyl.karpliak.aiCRM.communications.controller,MailController,59,0,2,0,14,0,6,0,5,0
aiCRM,vasyl.karpliak.aiCRM.communications.controller,FacebookWebhookController,124,0,20,0,29,0,13,0,3,0
aiCRM,vasyl.karpliak.aiCRM.communications.controller,NotificationController,128,0,10,0,34,0,14,0,9,0
aiCRM,vasyl.karpliak.aiCRM.communications.controller,ChatController,292,0,14,0,71,0,19,0,12,0
aiCRM,vasyl.karpliak.aiCRM.attachments.config,FileProcessingRabbitConfig,21,0,0,0,4,0,4,0,4,0
aiCRM,vasyl.karpliak.aiCRM.search.dto,SemanticSearchHitDTO,9,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.search.dto,SemanticSearchResponseDTO,12,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.search.dto,SemanticSearchRequestDTO,9,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.attachments.dto,FileAttachmentDTO,39,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.shared.controller,GlobalExceptionHandler,21,3,0,0,4,1,2,1,2,1
aiCRM,vasyl.karpliak.aiCRM.shared.controller,HealthController,13,0,0,0,2,0,2,0,2,0
aiCRM,vasyl.karpliak.aiCRM.shared.controller,DashboardController,206,0,6,0,43,0,7,0,4,0
aiCRM,vasyl.karpliak.aiCRM.attachments.domain,FileAttachment,4,0,0,0,2,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.domain,Notification,7,0,2,0,3,0,2,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.domain,MailData,3,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.domain,Message,7,0,2,0,3,0,2,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.domain,EmailMessage,3,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.iam.service,UserService,0,108,0,0,0,27,0,8,0,8
aiCRM,vasyl.karpliak.aiCRM.sales.dto,DealCreateRequest,0,15,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.sales.dto,DealEventDto,18,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.sales.dto,DealUpdateRequest,15,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.sales.dto,ClientNoteDTO,9,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.sales.dto,ClientDTO,0,27,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.sales.dto,ProjectDTO,0,9,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.reporting.enums,ReportStatus,27,0,0,0,5,0,1,0,1,0
